kind,backend_path,route_or_event,ui_consumer_match,status
route,qratum_ai_platform/services/orchestrator/app.py,/routes,N,DANGLING
route,qratum_ai_platform/services/orchestrator/app.py,/,Y,wired
route,qratum_fullstack_server.py,/health,Y,wired
route,qratum_fullstack_server.py,/api/v1/qradle/contract,N,DANGLING
route,qratum_fullstack_server.py,/,Y,wired
route,qratum_fullstack_server.py,/api/v1/qradle/contract,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/platform/execute,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/asi/status,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/system/proof,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/system/checkpoint,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/audit/trail,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/verticals,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/soi/qradle/state,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/soi/qradle/audit,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/soi/qradle/checkpoints,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/soi/qradle/proof,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/soi/aethernet/validators,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/soi/aethernet/consensus,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/soi/aethernet/zones,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/soi/trajectory/health,N,DANGLING
route,qratum_fullstack_server.py,/api/v1/soi/metrics,N,DANGLING
route,quasic_viz/services/qubic_render/ws_server.py,/health,Y,wired
route,quasic_viz/services/qubic_render/ws_server.py,/frames/latest,N,DANGLING
route,quasic_viz/services/qubic_render/ws_server.py,/frames/{timestamp},N,DANGLING
route,quasim/api/server.py,/health,Y,wired
route,quasim/api/server.py,/api/v1/qc/simulate,Y,wired
route,quasim/api/server.py,/api/v1/qc/jobs/{job_id},Y,wired
route,quasim/api/server.py,/api/v1/dtwin/create,Y,wired
route,quasim/api/server.py,/api/v1/dtwin/{twin_id}/simulate,N,DANGLING
route,quasim/api/server.py,/api/v1/opt/optimize,Y,wired
route,quasim/api/server.py,/api/v1/cluster/status,Y,wired
route,services/qubic-render/api.py,/frame,Y,wired
route,services/qubic-render/api.py,/sequence,N,DANGLING
route,services/qubic-render/api.py,/status/{job_id},N,DANGLING
route,services/qubic-render/server.py,/health,Y,wired
route,services/qubic-render/server.py,/gpu-status,N,DANGLING
route,soi/telemetry/state-stream.py,/api/v1/soi/qradle/state,N,DANGLING
route,soi/telemetry/state-stream.py,/api/v1/soi/qradle/proof,N,DANGLING
route,soi/telemetry/state-stream.py,/api/v1/soi/aethernet/validators,N,DANGLING
route,soi/telemetry/state-stream.py,/api/v1/soi/aethernet/consensus,N,DANGLING
route,soi/telemetry/state-stream.py,/api/v1/soi/trajectory/health,N,DANGLING
route,soi/telemetry/state-stream.py,/api/v1/soi/zones/stats,N,DANGLING
route,soi/telemetry/state-stream.py,/api/v1/soi/verticals,N,DANGLING
route,xenon_live_server.py,/,Y,wired
socket,xenon_live_server.py,connect,Y,wired
socket,xenon_live_server.py,start,Y,wired
socket,xenon_live_server.py,stop,Y,wired
socket,xenon_live_server.py,reset,Y,wired
