Gene	t0h	t6h	t12h	t17h
Gene_MAT_038	169.963	115.239	63.887	48.554
Gene_MAT_039	105.865	63.584	28.942	31.394
Gene_MAT_040	63.088	36.959	17.137	12.024
Gene_MAT_041	110.019	72.046	32.808	39.879
Gene_MAT_042	126.013	110.624	43.766	49.860
Gene_MAT_043	133.239	103.614	36.129	36.806
Gene_MAT_044	55.683	38.606	13.497	18.153
Gene_MAT_045	155.488	101.250	29.527	36.001
Gene_MAT_046	109.465	88.055	42.550	35.657
Gene_MAT_047	114.920	115.770	42.752	52.020
Gene_MAT_048	124.019	73.239	23.444	27.591
Gene_MAT_049	70.341	50.984	33.359	41.721
Gene_MAT_050	56.670	44.140	22.661	17.035
Gene_MAT_051	79.927	53.374	20.263	23.381
Gene_MAT_052	64.918	45.243	20.900	20.572
Gene_MAT_053	159.737	99.333	43.797	46.592
Gene_MAT_054	161.633	132.899	53.582	79.386
Gene_MAT_055	143.538	84.108	33.913	53.309
Gene_MAT_056	61.957	29.869	19.750	20.578
Gene_MAT_057	183.007	143.308	59.546	62.768
Gene_MAT_058	67.530	50.252	25.702	14.388
Gene_MAT_059	110.617	78.784	30.525	26.456
Gene_MAT_060	141.691	60.649	38.134	35.663
Gene_MAT_061	90.033	71.089	38.331	38.755
Gene_MAT_062	143.707	91.127	46.226	43.393
Gene_MAT_063	163.067	120.654	45.842	65.330
Gene_MAT_064	89.791	54.644	28.344	29.804
Gene_MAT_065	176.271	84.978	47.179	43.643
Gene_MAT_066	208.699	130.482	45.689	48.088
Gene_MAT_067	71.948	55.403	27.638	34.420
Gene_MAT_068	89.169	99.447	41.200	48.100
Gene_MAT_069	85.502	78.991	40.439	31.482
Gene_MAT_070	66.646	49.823	17.324	23.622
Gene_MAT_071	103.540	72.494	31.231	29.030
Gene_MAT_072	94.943	71.928	33.522	27.246
Gene_MAT_073	131.386	66.855	28.272	36.920
Gene_MAT_074	122.114	102.345	41.272	45.766
Gene_MAT_075	91.434	45.980	14.221	28.027
Gene_MAT_076	155.389	128.066	34.849	41.402
Gene_MAT_077	104.633	88.631	38.437	41.235
Gene_MAT_078	43.514	46.992	18.563	23.726
Gene_MAT_079	67.331	51.439	20.469	23.736
Gene_MAT_080	83.804	62.066	29.017	27.013
Gene_MAT_081	142.521	102.076	50.073	34.688
Gene_MAT_082	132.377	77.446	45.871	63.119
Gene_MAT_083	194.782	154.053	68.053	62.402
Gene_MAT_084	67.727	57.887	20.907	20.035
Gene_MAT_085	57.007	44.464	20.804	27.372
Gene_MAT_086	156.181	146.048	49.883	70.353
Gene_MAT_087	132.467	145.636	49.815	55.999
Gene_MAT_088	177.670	146.754	57.424	68.905
Gene_MAT_089	85.987	47.656	16.761	27.753
Gene_MAT_090	172.026	109.102	43.346	51.699
Gene_MAT_091	158.862	85.670	37.211	46.893
Gene_MAT_092	119.890	79.620	35.869	33.304
Gene_MAT_093	56.946	48.155	23.087	26.337
Gene_MAT_094	141.214	72.548	38.231	37.908
Gene_MAT_095	151.284	112.604	41.911	56.894
Gene_MAT_096	114.822	111.587	35.565	46.458
Gene_MAT_097	198.899	126.981	53.485	53.856
Gene_MAT_098	84.756	74.808	33.896	34.170
Gene_MAT_099	98.363	61.479	31.505	22.264
Gene_ZYG_100	1.831	8.099	31.441	39.475
Gene_ZYG_101	5.427	15.563	64.351	127.334
Gene_ZYG_102	7.595	35.477	63.496	105.614
Gene_ZYG_103	7.212	32.694	76.844	107.189
Gene_ZYG_104	4.249	18.637	31.994	43.276
Gene_ZYG_105	9.642	48.071	92.684	161.255
Gene_ZYG_106	8.481	40.325	77.219	93.498
Gene_ZYG_107	9.935	28.473	101.929	114.019
Gene_ZYG_108	4.421	24.338	51.533	80.579
Gene_ZYG_109	7.086	28.021	71.080	100.054
Gene_ZYG_110	5.806	23.085	55.528	75.837
Gene_ZYG_111	10.788	32.627	78.840	97.741
Gene_ZYG_112	7.220	30.774	87.829	124.296
Gene_ZYG_113	6.401	32.831	80.333	94.108
Gene_ZYG_114	10.234	38.890	74.019	124.794
Gene_ZYG_115	3.966	18.863	35.846	73.389
Gene_ZYG_116	5.851	25.651	38.830	67.020
Gene_ZYG_117	7.020	37.046	108.712	91.849
Gene_ZYG_118	6.883	33.020	54.293	91.955
Gene_ZYG_119	6.020	25.861	74.946	98.376
Gene_ZYG_120	10.250	29.032	106.563	120.462
Gene_ZYG_121	2.841	11.347	33.907	46.601
Gene_ZYG_122	2.075	12.006	23.464	38.337
Gene_ZYG_123	8.375	27.599	63.392	115.865
Gene_ZYG_124	2.603	13.965	26.777	38.414
Gene_ZYG_125	5.769	27.237	58.508	79.560
Gene_ZYG_126	6.361	19.237	93.584	138.924
Gene_ZYG_127	3.364	18.085	45.385	61.426
Gene_ZYG_128	4.247	16.857	30.312	57.556
Gene_ZYG_129	10.248	37.940	97.778	145.501
Gene_ZYG_130	8.079	29.562	102.280	125.296
Gene_ZYG_131	6.064	31.139	51.959	90.339
Gene_ZYG_132	2.289	10.810	31.113	33.395
Gene_ZYG_133	9.669	33.527	91.963	127.672
Gene_ZYG_134	3.230	18.286	39.290	34.975
Gene_ZYG_135	7.214	24.754	55.616	103.993
Gene_ZYG_136	4.976	15.587	38.790	47.654
Gene_ZYG_137	6.331	27.499	53.353	72.132
Gene_ZYG_138	4.350	19.052	36.212	48.548
Gene_ZYG_139	6.112	29.007	42.022	74.115
Gene_ZYG_140	1.831	9.609	24.226	36.312
Gene_ZYG_141	4.666	16.381	48.029	74.755
Gene_ZYG_142	6.680	33.538	74.793	113.171
Gene_ZYG_143	2.777	8.489	25.079	32.441
Gene_ZYG_144	4.724	27.224	58.464	69.666
Gene_ZYG_145	5.206	11.717	34.530	51.150
Gene_ZYG_146	4.390	18.787	34.916	46.728
Gene_ZYG_147	7.905	33.927	76.161	108.849
Gene_ZYG_148	2.869	11.522	19.451	22.711
Gene_ZYG_149	5.081	14.608	31.093	58.351
Gene_ZYG_150	11.300	38.358	84.040	102.772
Gene_ZYG_151	4.209	14.944	57.613	74.494
Gene_ZYG_152	4.492	23.520	57.115	74.100
Gene_ZYG_153	4.516	18.321	45.165	57.779
Gene_ZYG_154	5.163	18.693	41.198	85.131
Gene_ZYG_155	9.678	33.388	96.681	107.385
Gene_ZYG_156	2.991	15.164	36.103	38.384
Gene_ZYG_157	2.500	12.849	28.694	33.792
Gene_ZYG_158	9.291	35.795	77.312	120.275
Gene_ZYG_159	2.339	12.399	30.479	28.098
Gene_ZYG_160	3.030	12.220	30.419	35.355
Gene_ZYG_161	5.930	29.787	74.836	112.641
Gene_ZYG_162	6.618	21.968	64.288	92.961
Gene_ZYG_163	2.369	10.768	23.975	31.323
Gene_ZYG_164	8.619	38.033	95.483	101.396
Gene_ZYG_165	4.666	12.677	26.197	36.885
Gene_ZYG_166	9.130	35.710	107.429	72.590
Gene_ZYG_167	10.333	27.824	78.952	99.023
Gene_ZYG_168	8.070	41.211	108.245	107.442
Gene_ZYG_169	9.897	49.735	97.064	133.836
Gene_ZYG_170	7.227	22.073	43.743	74.730
Gene_ZYG_171	8.816	43.249	95.597	132.173
Gene_ZYG_172	3.659	14.821	24.713	51.088
Gene_ZYG_173	3.391	17.156	43.815	51.691
Gene_ZYG_174	3.207	15.082	36.634	53.168
Gene_ZYG_175	2.410	12.589	28.656	27.109
Gene_ZYG_176	3.324	12.879	32.785	44.216
Gene_ZYG_177	10.579	30.874	76.340	103.244
Gene_ZYG_178	4.193	13.219	22.075	35.071
Gene_ZYG_179	6.530	26.757	71.669	90.566
Gene_ZYG_180	7.988	30.959	95.280	91.224
Gene_ZYG_181	5.622	21.656	68.554	66.929
Gene_ZYG_182	3.290	11.011	34.406	38.070
Gene_ZYG_183	4.075	16.667	34.872	58.878
Gene_ZYG_184	10.799	38.362	107.021	85.045
Gene_ZYG_185	3.227	15.103	33.914	48.226
Gene_ZYG_186	6.022	26.252	59.643	83.330
Gene_ZYG_187	3.674	16.177	42.931	48.031
Gene_ZYG_188	5.509	26.281	75.972	100.306
Gene_ZYG_189	10.623	40.266	110.645	130.444
Gene_ZYG_190	6.816	14.546	68.618	39.172
Gene_ZYG_191	6.423	25.786	49.668	71.642
Gene_ZYG_192	4.700	27.092	50.666	71.710
Gene_ZYG_193	4.170	13.899	40.223	54.238
Gene_ZYG_194	9.568	35.370	113.299	133.359
Gene_ZYG_195	3.584	15.057	39.795	41.283
Gene_ZYG_196	9.263	29.819	62.575	113.005
Gene_ZYG_197	7.415	39.827	106.875	135.547
Gene_ZYG_198	2.212	11.764	26.747	34.653
Gene_ZYG_199	5.827	24.208	57.091	62.535
